date,place,place_id,rating,review_count,new_reviews_week,sentiment_label,sentiment_score,report_path,maps_url
2025-10-13,Pleasant View,ChIJ-2-ZMugNU4cRXL9GFcRRrqM,4.9,748,0,Positive,0.79,reports/2025-10-13/Pleasant_View.md,
2025-10-13,Layton,ChIJMY4HT7ABU4cRy4c9fdaxWvs,4.9,411,0,Positive,0.704,reports/2025-10-13/Layton.md,
2025-10-13,Kearns,ChIJIUoOrwyNUocRUwzGQocvYUc,4.9,445,0,Positive,1.0,reports/2025-10-13/Kearns.md,
2025-10-13,West Valley,ChIJs-ajHLKNUocRkkO6bkNDqvw,4.7,777,0,Positive,1.0,reports/2025-10-13/West_Valley.md,
2025-10-13,Murray,ChIJZZ9Ay1qLUocRdx4fuIR4JO0,4.7,1326,0,Positive,1.0,reports/2025-10-13/Murray.md,
2025-10-13,Draper,ChIJRRGDHveHUocRUs0phtO91cA,4.7,316,0,Positive,0.524,reports/2025-10-13/Draper.md,
2025-10-13,Cedar Hills,ChIJS-gO0piBTYcRQgGTvKmhWmw,4.6,295,0,Positive,0.76,reports/2025-10-13/Cedar_Hills.md,
2025-10-13,Lehi,ChIJBU3KaAF_TYcRDXRnINFqVrc,4.7,338,0,Positive,0.925,reports/2025-10-13/Lehi.md,
2025-10-13,Provo,ChIJr5Bc4XaXTYcRhiP8bvuO890,4.8,656,0,Positive,0.94,reports/2025-10-13/Provo.md,
2025-10-13,Mechanicsburg,ChIJpVZeaADdyIkRKcYGPT7ToQ0,4.9,325,0,Positive,0.93,reports/2025-10-13/Mechanicsburg.md,
2025-10-13,Lemoyne,ChIJuzMJq3vByIkR6G88vcr88B4,4.5,598,0,Positive,0.72,reports/2025-10-13/Lemoyne.md,
2025-10-13,Lower Paxton,ChIJG0ygTT-5yIkR6mwGt6AHOLA,4.6,499,0,Mixed/Neutral,0.14,reports/2025-10-13/Lower_Paxton.md,
2025-10-13,Linglestown,ChIJbYGn7RvHyIkRdwfpTJLHpmY,4.7,232,0,Positive,0.6,reports/2025-10-13/Linglestown.md,
2025-10-13,Lebanon,ChIJb82CdhoDxokRkN84hrDFo8M,4.8,475,0,Positive,0.63,reports/2025-10-13/Lebanon.md,
2025-10-13,Selinsgrove,ChIJlzkojDM_z4kREheIVuR8Ke8,4.7,62,0,Positive,0.72,reports/2025-10-13/Selinsgrove.md,
2025-10-13,West Manchester,ChIJq3MX6zWNyIkR2PJtX4UD1dg,4.6,202,0,Positive,0.73,reports/2025-10-13/West_Manchester.md,
2025-10-13,Mt. Airy,ChIJoXCCLyYtyIkRpTKJEcL335U,4.7,403,0,Positive,1.0,reports/2025-10-13/Mt._Airy.md,
2025-10-13,Clinton,ChIJdaPibmq9t4kR8nlIXd3l-pQ,,0,0,Mixed/Neutral,0.0,reports/2025-10-13/Clinton.md,
2025-10-13,Middle River,ChIJMzZkas_9x4kRFjoJslJnhYk,,0,0,Mixed/Neutral,0.0,reports/2025-10-13/Middle_River.md,
