date,place,place_id,rating,review_count,new_reviews_week,sentiment_label,sentiment_score,report_path,maps_url
2025-10-29,Pleasant View,ChIJ-2-ZMugNU4cRXL9GFcRRrqM,4.9,824,5,Positive,0.77,reports/2025-10-29/Pleasant_View.md,
2025-10-29,Layton,ChIJMY4HT7ABU4cRy4c9fdaxWvs,4.9,414,0,Positive,0.51,reports/2025-10-29/Layton.md,
2025-10-29,Kearns,ChIJIUoOrwyNUocRUwzGQocvYUc,4.9,448,1,Positive,1.0,reports/2025-10-29/Kearns.md,
2025-10-29,West Valley,ChIJs-ajHLKNUocRkkO6bkNDqvw,4.7,785,4,Positive,0.52,reports/2025-10-29/West_Valley.md,
2025-10-29,Murray,ChIJZZ9Ay1qLUocRdx4fuIR4JO0,4.7,1333,3,Positive,1.0,reports/2025-10-29/Murray.md,
2025-10-29,Draper,ChIJRRGDHveHUocRUs0phtO91cA,4.7,318,0,Positive,0.5,reports/2025-10-29/Draper.md,
2025-10-29,Cedar Hills,ChIJS-gO0piBTYcRQgGTvKmhWmw,4.6,296,0,Positive,0.7,reports/2025-10-29/Cedar_Hills.md,
2025-10-29,Lehi,ChIJBU3KaAF_TYcRDXRnINFqVrc,4.7,338,0,Positive,0.86,reports/2025-10-29/Lehi.md,
2025-10-29,Provo,ChIJr5Bc4XaXTYcRhiP8bvuO890,4.8,658,3,Positive,0.72,reports/2025-10-29/Provo.md,
2025-10-29,Mechanicsburg,ChIJpVZeaADdyIkRKcYGPT7ToQ0,4.9,325,0,Positive,0.93,reports/2025-10-29/Mechanicsburg.md,
2025-10-29,Lemoyne,ChIJuzMJq3vByIkR6G88vcr88B4,4.5,600,3,Positive,1.0,reports/2025-10-29/Lemoyne.md,
2025-10-29,Lower Paxton,ChIJG0ygTT-5yIkR6mwGt6AHOLA,4.6,503,2,Positive,0.62,reports/2025-10-29/Lower_Paxton.md,
2025-10-29,Linglestown,ChIJbYGn7RvHyIkRdwfpTJLHpmY,4.7,234,1,Positive,1.0,reports/2025-10-29/Linglestown.md,
2025-10-29,Lebanon,ChIJb82CdhoDxokRkN84hrDFo8M,4.8,477,1,Positive,0.5,reports/2025-10-29/Lebanon.md,
2025-10-29,Selinsgrove,ChIJlzkojDM_z4kREheIVuR8Ke8,4.7,63,0,Positive,0.93,reports/2025-10-29/Selinsgrove.md,
2025-10-29,West Manchester,ChIJq3MX6zWNyIkR2PJtX4UD1dg,4.6,206,2,Positive,0.81,reports/2025-10-29/West_Manchester.md,
2025-10-29,Mt. Airy,ChIJoXCCLyYtyIkRpTKJEcL335U,4.7,408,1,Positive,1.0,reports/2025-10-29/Mt._Airy.md,
2025-10-29,Clinton,ChIJdaPibmq9t4kR8nlIXd3l-pQ,,0,0,Mixed/Neutral,0.0,reports/2025-10-29/Clinton.md,
2025-10-29,Middle River,ChIJMzZkas_9x4kRFjoJslJnhYk,,0,0,Mixed/Neutral,0.0,reports/2025-10-29/Middle_River.md,
